"0", "1", "2", "3", "4"
"3288090112","3288093183","CS","SCG","SERBIA AND MONTENEGRO"
"3288093184","3288093439","CS","SCG","SERBIA AND MONTENEGRO"
"3288093440","3288093695","RS","",""
"3288093696","3288097023","CS","SCG","SERBIA AND MONTENEGRO"
"3288097024","3288097279","RS","",""
"3288097280","3288097727","CS","SCG","SERBIA AND MONTENEGRO"
"3288097728","3288097759","CS","SCG","SERBIA AND MONTENEGRO"
"3288097760","3288097775","RS","",""
"3288097776","3288097791","CS","SCG","SERBIA AND MONTENEGRO"
"3288097792","3288099071","CS","SCG","SERBIA AND MONTENEGRO"
"3288099072","3288099327","RS","",""
"3288099328","3288099455","CS","SCG","SERBIA AND MONTENEGRO"
"3288099456","3288099583","CS","SCG","SERBIA AND MONTENEGRO"
"3288099584","3288099719","CS","SCG","SERBIA AND MONTENEGRO"
"3288099720","3288099727","CS","SCG","SERBIA AND MONTENEGRO"
"3288099728","3288099735","CS","SCG","SERBIA AND MONTENEGRO"
"3288099736","3288099775","CS","SCG","SERBIA AND MONTENEGRO"
"3288099776","3288099783","RS","",""
"3288099784","3288099799","CS","SCG","SERBIA AND MONTENEGRO"
"3288099800","3288099839","RS","",""
"3288099840","3288100351","CS","SCG","SERBIA AND MONTENEGRO"
"3288100352","3288100415","CS","SCG","SERBIA AND MONTENEGRO"
"3288100416","3288100431","RS","",""
"3288100432","3288100463","CS","SCG","SERBIA AND MONTENEGRO"
"3288100464","3288100479","RS","",""
"3288100480","3288100607","CS","SCG","SERBIA AND MONTENEGRO"
"3288100608","3288100735","CS","SCG","SERBIA AND MONTENEGRO"
"3288100736","3288101119","CS","SCG","SERBIA AND MONTENEGRO"
"3288101120","3288101135","CS","SCG","SERBIA AND MONTENEGRO"
"3288101136","3288101151","RS","",""
"3288101152","3288101167","CS","SCG","SERBIA AND MONTENEGRO"
"3288101168","3288101503","RS","",""
"3288101504","3288101599","CS","SCG","SERBIA AND MONTENEGRO"
"3288101600","3288101615","CS","SCG","SERBIA AND MONTENEGRO"
"3288101616","3288101887","CS","SCG","SERBIA AND MONTENEGRO"
"3288101888","3288102143","CS","SCG","SERBIA AND MONTENEGRO"
"3288102144","3288102527","CS","SCG","SERBIA AND MONTENEGRO"
"3288102528","3288102543","RS","",""
"3288102544","3288102551","DK","DNK","DENMARK"
"3288102552","3288102655","RS","",""
"3288102656","3288102911","CS","SCG","SERBIA AND MONTENEGRO"
"3288102912","3288103167","CS","SCG","SERBIA AND MONTENEGRO"
"3288103168","3288103183","CS","SCG","SERBIA AND MONTENEGRO"
"3288103184","3288103199","RS","",""
"3288103200","3288103231","CS","SCG","SERBIA AND MONTENEGRO"
"3288103232","3288103295","RS","",""
"3288103296","3288103399","CS","SCG","SERBIA AND MONTENEGRO"
"3288103400","3288103407","RS","",""
"3288103408","3288103935","CS","SCG","SERBIA AND MONTENEGRO"
"3288103936","3288103967","CS","SCG","SERBIA AND MONTENEGRO"
"3288103968","3288103983","CS","SCG","SERBIA AND MONTENEGRO"
"3288103984","3288104079","RS","",""
"3288104080","3288104111","CS","SCG","SERBIA AND MONTENEGRO"
"3288104112","3288104191","RS","",""
"3288104192","3288104279","CS","SCG","SERBIA AND MONTENEGRO"
"3288104280","3288104287","RS","",""
"3288104288","3288104383","CS","SCG","SERBIA AND MONTENEGRO"
"3288104384","3288104415","CS","SCG","SERBIA AND MONTENEGRO"
"3288104416","3288104639","CS","SCG","SERBIA AND MONTENEGRO"
"3288104640","3288104703","CS","SCG","SERBIA AND MONTENEGRO"
"3288104704","3288104735","CS","SCG","SERBIA AND MONTENEGRO"
