"0", "1", "2", "3", "4"
"3240811264","3240811519","FR","FRA","FRANCE"
"3240811520","3240811775","SA","SAU","SAUDI ARABIA"
"3240811776","3240812031","DE","DEU","GERMANY"
"3240812032","3240812287","HU","HUN","HUNGARY"
"3240812288","3240812543","KW","KWT","KUWAIT"
"3240813568","3240814591","PL","POL","POLAND"
"3240814592","3240818687","IT","ITA","ITALY"
"3240818688","3240820735","NL","NLD","NETHERLANDS"
"3240820800","3240820831","RU","RUS","RUSSIAN FEDERATION"
"3240820832","3240822783","IT","ITA","ITALY"
"3240824320","3240827135","IT","ITA","ITALY"
"3240827136","3240827391","FR","FRA","FRANCE"
"3240827392","3240827647","BG","BGR","BULGARIA"
"3240827648","3240827903","CH","CHE","SWITZERLAND"
"3240827904","3240828159","IT","ITA","ITALY"
"3240828160","3240828415","DE","DEU","GERMANY"
"3240828416","3240837119","IT","ITA","ITALY"
"3240837120","3240837375","GB","GBR","UNITED KINGDOM"
"3240837376","3240840447","IT","ITA","ITALY"
"3240840448","3240840703","PL","POL","POLAND"
"3240840704","3240840959","RO","ROM","ROMANIA"
"3240840960","3240841215","GB","GBR","UNITED KINGDOM"
"3240841216","3240843263","IT","ITA","ITALY"
"3240843264","3240843775","NL","NLD","NETHERLANDS"
"3240844032","3240844543","NL","NLD","NETHERLANDS"
"3240844544","3240844799","CH","CHE","SWITZERLAND"
"3240844800","3240845055","GB","GBR","UNITED KINGDOM"
"3240845056","3240845311","UA","UKR","UKRAINE"
"3240845312","3240846847","IT","ITA","ITALY"
"3240846848","3240847359","VA","VAT","HOLY SEE (VATICAN CITY STATE)"
"3240847360","3240852735","IT","ITA","ITALY"
"3240852736","3240852991","GB","GBR","UNITED KINGDOM"
"3240852992","3240853247","IT","ITA","ITALY"
"3240853248","3240853503","RU","RUS","RUSSIAN FEDERATION"
"3240853504","3240855039","VA","VAT","HOLY SEE (VATICAN CITY STATE)"
"3240855040","3240858623","IT","ITA","ITALY"
"3240858624","3240858879","UA","UKR","UKRAINE"
"3240858880","3240859135","IT","ITA","ITALY"
"3240859136","3240859391","NL","NLD","NETHERLANDS"
"3240859392","3240859647","SE","SWE","SWEDEN"
"3240859648","3240861183","IT","ITA","ITALY"
"3240861184","3240861695","AT","AUT","AUSTRIA"
"3240861696","3240866815","IT","ITA","ITALY"
"3240866816","3240867071","GB","GBR","UNITED KINGDOM"
"3240867072","3240867327","PL","POL","POLAND"
"3240867328","3240867583","RU","RUS","RUSSIAN FEDERATION"
"3240867584","3240867839","CH","CHE","SWITZERLAND"
"3240867840","3240873983","IT","ITA","ITALY"
"3240873984","3240874495","RU","RUS","RUSSIAN FEDERATION"
"3240874496","3240875007","FR","FRA","FRANCE"
"3240875008","3240875519","AT","AUT","AUSTRIA"
"3240875520","3240876031","FR","FRA","FRANCE"
"3240876032","3240876543","DK","DNK","DENMARK"
"3240876544","3240877055","GR","GRC","GREECE"
"3240877056","3240877567","DE","DEU","GERMANY"
"3240877568","3240879103","UA","UKR","UKRAINE"
"3240880128","3240881151","ES","ESP","SPAIN"
"3240882176","3240883199","PL","POL","POLAND"
"3240883200","3240884223","IL","ISR","ISRAEL"
"3240884224","3240886271","UA","UKR","UKRAINE"
"3240886272","3240961791","SE","SWE","SWEDEN"
"3240961792","3240961799","FI","FIN","FINLAND"
"3240961800","3240968703","SE","SWE","SWEDEN"
"3240968704","3240969039","GB","GBR","UNITED KINGDOM"
"3240969040","3240969215","SE","SWE","SWEDEN"
"3240969216","3240969231","GB","GBR","UNITED KINGDOM"
"3240969232","3240988159","SE","SWE","SWEDEN"
"3240988160","3240988167","PL","POL","POLAND"
"3240988168","3241017343","SE","SWE","SWEDEN"
"3241017344","3241082879","AT","AUT","AUSTRIA"
"3241082880","3241083135","FR","FRA","FRANCE"
"3241083136","3241100031","CH","CHE","SWITZERLAND"
"3241100800","3241101055","UA","UKR","UKRAINE"
"3241101056","3241101311","DK","DNK","DENMARK"
"3241101312","3241101567","RO","ROM","ROMANIA"
"3241101568","3241101823","DE","DEU","GERMANY"
"3241101824","3241102079","BG","BGR","BULGARIA"
"3241102080","3241102335","RO","ROM","ROMANIA"
"3241102336","3241102591","ES","ESP","SPAIN"
"3241102592","3241102847","DE","DEU","GERMANY"
"3241102848","3241103359","NL","NLD","NETHERLANDS"
