"0", "1", "2", "3", "4"
"3267765792","3267765823","SE","SWE","SWEDEN"
"3267765824","3267765855","NO","NOR","NORWAY"
"3267765856","3267766031","SE","SWE","SWEDEN"
"3267766032","3267766047","NO","NOR","NORWAY"
"3267766048","3267766303","SE","SWE","SWEDEN"
"3267766304","3267766319","NO","NOR","NORWAY"
"3267766320","3267766351","SE","SWE","SWEDEN"
"3267766352","3267766367","NO","NOR","NORWAY"
"3267766368","3267766383","SE","SWE","SWEDEN"
"3267766384","3267766415","NO","NOR","NORWAY"
"3267766416","3267785727","SE","SWE","SWEDEN"
"3267785728","3267785983","NO","NOR","NORWAY"
"3267785984","3267787007","SE","SWE","SWEDEN"
"3267787008","3267787263","NO","NOR","NORWAY"
"3267787264","3267787519","SE","SWE","SWEDEN"
"3267787520","3267787775","NO","NOR","NORWAY"
"3267787776","3267788031","SE","SWE","SWEDEN"
"3267788032","3267788287","NO","NOR","NORWAY"
"3267788288","3267793919","SE","SWE","SWEDEN"
"3267793920","3267794175","DK","DNK","DENMARK"
"3267794176","3267821567","SE","SWE","SWEDEN"
"3267821568","3267887103","FR","FRA","FRANCE"
"3267887104","3268017407","GB","GBR","UNITED KINGDOM"
"3268017408","3268017663","KE","KEN","KENYA"
"3268017664","3268149247","GB","GBR","UNITED KINGDOM"
"3268149248","3268165631","EE","EST","ESTONIA"
"3268165632","3268173823","CH","CHE","SWITZERLAND"
"3268173824","3268182015","MT","MLT","MALTA"
"3268182016","3268198399","PL","POL","POLAND"
"3268215584","3268215615","GB","GBR","UNITED KINGDOM"
"3268215648","3268215679","GB","GBR","UNITED KINGDOM"
"3268215712","3268215743","GB","GBR","UNITED KINGDOM"
"3268215776","3268216319","GB","GBR","UNITED KINGDOM"
"3268218112","3268218367","GB","GBR","UNITED KINGDOM"
"3268219808","3268219823","GB","GBR","UNITED KINGDOM"
"3268219856","3268219871","GB","GBR","UNITED KINGDOM"
"3268221440","3268221951","GB","GBR","UNITED KINGDOM"
"3268222976","3268223231","GB","GBR","UNITED KINGDOM"
"3268224768","3268225023","US","USA","UNITED STATES"
"3268226304","3268226559","GB","GBR","UNITED KINGDOM"
"3268227328","3268227391","GB","GBR","UNITED KINGDOM"
"3268227520","3268227615","GB","GBR","UNITED KINGDOM"
"3268229632","3268229887","GB","GBR","UNITED KINGDOM"
"3268230656","3268230911","GB","GBR","UNITED KINGDOM"
"3268231168","3268231199","GB","GBR","UNITED KINGDOM"
"3268231312","3268231359","GB","GBR","UNITED KINGDOM"
"3268231392","3268231423","GB","GBR","UNITED KINGDOM"
"3268231648","3268231679","GB","GBR","UNITED KINGDOM"
"3268231744","3268231807","GB","GBR","UNITED KINGDOM"
"3268232224","3268232243","GB","GBR","UNITED KINGDOM"
"3268232256","3268232319","GB","GBR","UNITED KINGDOM"
"3268232352","3268232367","GB","GBR","UNITED KINGDOM"
"3268232384","3268232415","GB","GBR","UNITED KINGDOM"
"3268232480","3268232575","GB","GBR","UNITED KINGDOM"
"3268232960","3268233087","GB","GBR","UNITED KINGDOM"
"3268233472","3268233599","GB","GBR","UNITED KINGDOM"
"3268233920","3268234047","GB","GBR","UNITED KINGDOM"
"3268234112","3268234239","GB","GBR","UNITED KINGDOM"
"3268234560","3268234687","GB","GBR","UNITED KINGDOM"
"3268235008","3268235263","GB","GBR","UNITED KINGDOM"
"3268235264","3268235519","DE","DEU","GERMANY"
"3268235520","3268235775","GB","GBR","UNITED KINGDOM"
"3268235936","3268236031","GB","GBR","UNITED KINGDOM"
"3268236192","3268236207","GB","GBR","UNITED KINGDOM"
"3268236544","3268236607","GB","GBR","UNITED KINGDOM"
"3268236672","3268236799","GB","GBR","UNITED KINGDOM"
"3268237312","3268237567","GB","GBR","UNITED KINGDOM"
"3268238336","3268238351","GB","GBR","UNITED KINGDOM"
"3268239104","3268239359","GB","GBR","UNITED KINGDOM"
"3268239584","3268240127","GB","GBR","UNITED KINGDOM"
"3268240160","3268240191","GB","GBR","UNITED KINGDOM"
"3268240256","3268240399","GB","GBR","UNITED KINGDOM"
"3268240416","3268240431","GB","GBR","UNITED KINGDOM"
"3268240688","3268240695","GB","GBR","UNITED KINGDOM"
