"0", "1", "2", "3", "4"
"3268240712","3268240735","GB","GBR","UNITED KINGDOM"
"3268240744","3268240751","GB","GBR","UNITED KINGDOM"
"3268240776","3268240783","GB","GBR","UNITED KINGDOM"
"3268240976","3268240991","GB","GBR","UNITED KINGDOM"
"3268241008","3268241023","GB","GBR","UNITED KINGDOM"
"3268241544","3268241551","GB","GBR","UNITED KINGDOM"
"3268241640","3268241727","GB","GBR","UNITED KINGDOM"
"3268242496","3268242523","GB","GBR","UNITED KINGDOM"
"3268242880","3268243103","GB","GBR","UNITED KINGDOM"
"3268243328","3268243391","GB","GBR","UNITED KINGDOM"
"3268243400","3268243407","GB","GBR","UNITED KINGDOM"
"3268243744","3268243775","GB","GBR","UNITED KINGDOM"
"3268243968","3268244031","GB","GBR","UNITED KINGDOM"
"3268244736","3268244743","GB","GBR","UNITED KINGDOM"
"3268244776","3268244783","GB","GBR","UNITED KINGDOM"
"3268244792","3268244799","GB","GBR","UNITED KINGDOM"
"3268245112","3268245115","GB","GBR","UNITED KINGDOM"
"3268245248","3268245375","GB","GBR","UNITED KINGDOM"
"3268245504","3268245759","GB","GBR","UNITED KINGDOM"
"3268246272","3268246783","GB","GBR","UNITED KINGDOM"
"3268246792","3268246807","GB","GBR","UNITED KINGDOM"
"3268246912","3268246927","GB","GBR","UNITED KINGDOM"
"3268246960","3268247007","GB","GBR","UNITED KINGDOM"
"3268247112","3268247127","GB","GBR","UNITED KINGDOM"
"3268248320","3268248575","GB","GBR","UNITED KINGDOM"
"3268248832","3268248959","GB","GBR","UNITED KINGDOM"
"3268250112","3268250367","GB","GBR","UNITED KINGDOM"
"3268250392","3268250399","GB","GBR","UNITED KINGDOM"
"3268250416","3268250423","GB","GBR","UNITED KINGDOM"
"3268250560","3268250575","GB","GBR","UNITED KINGDOM"
"3268250592","3268250607","GB","GBR","UNITED KINGDOM"
"3268250624","3268251311","GB","GBR","UNITED KINGDOM"
"3268251312","3268251327","IE","IRL","IRELAND"
"3268251328","3268251647","GB","GBR","UNITED KINGDOM"
"3268253952","3268254015","GB","GBR","UNITED KINGDOM"
"3268254464","3268254543","GB","GBR","UNITED KINGDOM"
"3268254592","3268254607","GB","GBR","UNITED KINGDOM"
"3268254624","3268254639","GB","GBR","UNITED KINGDOM"
"3268254888","3268254903","GB","GBR","UNITED KINGDOM"
"3268255808","3268255863","GB","GBR","UNITED KINGDOM"
"3268255872","3268255887","GB","GBR","UNITED KINGDOM"
"3268255896","3268255919","GB","GBR","UNITED KINGDOM"
"3268255952","3268255983","GB","GBR","UNITED KINGDOM"
"3268256896","3268256959","GB","GBR","UNITED KINGDOM"
"3268257024","3268257055","GB","GBR","UNITED KINGDOM"
"3268257088","3268257119","GB","GBR","UNITED KINGDOM"
"3268257264","3268257271","GB","GBR","UNITED KINGDOM"
"3268257416","3268257419","GB","GBR","UNITED KINGDOM"
"3268257424","3268257431","GB","GBR","UNITED KINGDOM"
"3268257432","3268257439","IT","ITA","ITALY"
"3268257456","3268257471","GB","GBR","UNITED KINGDOM"
"3268257488","3268257527","GB","GBR","UNITED KINGDOM"
"3268258560","3268258623","GB","GBR","UNITED KINGDOM"
"3268258688","3268258751","GB","GBR","UNITED KINGDOM"
"3268259264","3268259327","GB","GBR","UNITED KINGDOM"
"3268259520","3268259527","GB","GBR","UNITED KINGDOM"
"3268259544","3268259551","GB","GBR","UNITED KINGDOM"
"3268259560","3268259575","GB","GBR","UNITED KINGDOM"
"3268259808","3268259823","GB","GBR","UNITED KINGDOM"
"3268259832","3268260095","GB","GBR","UNITED KINGDOM"
"3268260352","3268260607","GB","GBR","UNITED KINGDOM"
"3268260640","3268260647","GB","GBR","UNITED KINGDOM"
"3268260656","3268260671","GB","GBR","UNITED KINGDOM"
"3268261936","3268261951","GB","GBR","UNITED KINGDOM"
"3268262016","3268262079","GB","GBR","UNITED KINGDOM"
"3268262768","3268262783","GB","GBR","UNITED KINGDOM"
"3268262880","3268262887","GB","GBR","UNITED KINGDOM"
"3268263232","3268263263","GB","GBR","UNITED KINGDOM"
"3268263392","3268263423","GB","GBR","UNITED KINGDOM"
"3268263776","3268263783","GB","GBR","UNITED KINGDOM"
"3268264736","3268264767","GB","GBR","UNITED KINGDOM"
"3268265416","3268265431","GB","GBR","UNITED KINGDOM"
"3268265984","3268266495","GB","GBR","UNITED KINGDOM"
"3268266984","3268266991","GB","GBR","UNITED KINGDOM"
"3268267536","3268267551","GB","GBR","UNITED KINGDOM"
"3268267584","3268267599","GB","GBR","UNITED KINGDOM"
"3268267744","3268267775","GB","GBR","UNITED KINGDOM"
"3268267936","3268267959","GB","GBR","UNITED KINGDOM"
"3268268544","3268268799","GB","GBR","UNITED KINGDOM"
"3268270352","3268270367","GB","GBR","UNITED KINGDOM"
"3268270496","3268270511","GB","GBR","UNITED KINGDOM"
"3268270848","3268271359","GB","GBR","UNITED KINGDOM"
"3268271912","3268271919","GB","GBR","UNITED KINGDOM"
"3268271928","3268271935","GB","GBR","UNITED KINGDOM"
"3268272704","3268272719","GB","GBR","UNITED KINGDOM"
"3268272728","3268272743","GB","GBR","UNITED KINGDOM"
"3268272752","3268272759","GB","GBR","UNITED KINGDOM"
"3268273024","3268273151","GB","GBR","UNITED KINGDOM"
"3268273920","3268273983","GB","GBR","UNITED KINGDOM"
"3268274112","3268274175","GB","GBR","UNITED KINGDOM"
"3268274456","3268274459","GB","GBR","UNITED KINGDOM"
"3268274528","3268274543","GB","GBR","UNITED KINGDOM"
"3268274560","3268274591","GB","GBR","UNITED KINGDOM"
"3268275776","3268275839","GB","GBR","UNITED KINGDOM"
"3268275984","3268275999","GB","GBR","UNITED KINGDOM"
"3268276640","3268276655","GB","GBR","UNITED KINGDOM"
"3268276672","3268276687","GB","GBR","UNITED KINGDOM"
"3268276768","3268276799","GB","GBR","UNITED KINGDOM"
"3268276864","3268276895","GB","GBR","UNITED KINGDOM"
"3268277056","3268277119","GB","GBR","UNITED KINGDOM"
"3268277760","3268278015","GB","GBR","UNITED KINGDOM"
"3268278352","3268278367","GB","GBR","UNITED KINGDOM"
"3268278464","3268278495","GB","GBR","UNITED KINGDOM"
"3268280064","3268280319","GB","GBR","UNITED KINGDOM"
"3268280320","3268299007","FR","FRA","FRANCE"
"3268299008","3268299263","CF","CAF","CENTRAL AFRICAN REPUBLIC"
"3268299264","3268335615","FR","FRA","FRANCE"
"3268335616","3268335871","CH","CHE","SWITZERLAND"
"3268335872","3268345855","FR","FRA","FRANCE"
"3268345856","3268411391","GB","GBR","UNITED KINGDOM"
"3268411392","3268424959","AT","AUT","AUSTRIA"
"3268424960","3268425727","CH","CHE","SWITZERLAND"
"3268425728","3268425983","LI","LIE","LIECHTENSTEIN"
"3268425984","3268426495","AT","AUT","AUSTRIA"
"3268426496","3268428031","CH","CHE","SWITZERLAND"
"3268428032","3268428287","AT","AUT","AUSTRIA"
"3268428288","3268428543","CH","CHE","SWITZERLAND"
"3268428544","3268429055","AT","AUT","AUSTRIA"
"3268429056","3268429311","CH","CHE","SWITZERLAND"
"3268429312","3268429567","AT","AUT","AUSTRIA"
"3268429568","3268430079","CH","CHE","SWITZERLAND"
"3268430080","3268430847","AT","AUT","AUSTRIA"
"3268430848","3268431103","LI","LIE","LIECHTENSTEIN"
"3268431104","3268476927","AT","AUT","AUSTRIA"
"3268476928","3268542463","CH","CHE","SWITZERLAND"
"3268542464","3268607999","PT","PRT","PORTUGAL"
"3268608000","3268673535","FI","FIN","FINLAND"
"3268673536","3268703799","CZ","CZE","CZECH REPUBLIC"
"3268703800","3268703807","CR","CRI","COSTA RICA"
"3268703808","3268728287","CZ","CZE","CZECH REPUBLIC"
"3268728288","3268728299","CR","CRI","COSTA RICA"
"3268728300","3268739071","CZ","CZE","CZECH REPUBLIC"
"3268739072","3268739327","NL","NLD","NETHERLANDS"
"3268739328","3268739583","PL","POL","POLAND"
"3268739584","3268739839","DE","DEU","GERMANY"
"3268739840","3268740095","CH","CHE","SWITZERLAND"
"3268740096","3268740351","IL","ISR","ISRAEL"
"3268740352","3268740607","DE","DEU","GERMANY"
"3268740608","3268740863","UA","UKR","UKRAINE"
"3268740864","3268741119","CH","CHE","SWITZERLAND"
"3268741120","3268741375","FR","FRA","FRANCE"
"3268741376","3268741887","LV","LVA","LATVIA"
"3268741888","3268742143","AT","AUT","AUSTRIA"
"3268742144","3268742399","RU","RUS","RUSSIAN FEDERATION"
"3268742400","3268742655","CZ","CZE","CZECH REPUBLIC"
"3268742656","3268742911","BE","BEL","BELGIUM"
"3268742912","3268743167","NL","NLD","NETHERLANDS"
"3268743168","3268743423","RO","ROM","ROMANIA"
"3268743424","3268743679","PL","POL","POLAND"
"3268743680","3268743935","GR","GRC","GREECE"
"3268743936","3268744191","ES","ESP","SPAIN"
"3268744192","3268744447","DE","DEU","GERMANY"
"3268744448","3268744703","RU","RUS","RUSSIAN FEDERATION"
"3268744704","3268744959","PL","POL","POLAND"
"3268744960","3268745215","UA","UKR","UKRAINE"
"3268745216","3268745471","KZ","KAZ","KAZAKHSTAN"
"3268745472","3268745727","RU","RUS","RUSSIAN FEDERATION"
"3268745728","3268745983","SI","SVN","SLOVENIA"
"3268745984","3268746239","DE","DEU","GERMANY"
"3268746240","3268746495","GB","GBR","UNITED KINGDOM"
"3268746496","3268746751","IE","IRL","IRELAND"
"3268746752","3268747007","FR","FRA","FRANCE"
"3268747008","3268747263","DE","DEU","GERMANY"
"3268747264","3268755455","CZ","CZE","CZECH REPUBLIC"
"3268755456","3268763647","SE","SWE","SWEDEN"
"3268763648","3268771839","IT","ITA","ITALY"
"3268771840","3268772735","NO","NOR","NORWAY"
"3268772736","3268772751","DK","DNK","DENMARK"
"3268772752","3268788223","NO","NOR","NORWAY"
"3268788224","3268804607","CZ","CZE","CZECH REPUBLIC"
"3268804608","3268869375","FR","FRA","FRANCE"
"3268869376","3268870143","PF","PYF","FRENCH POLYNESIA"
"3268870144","3268876063","FI","FIN","FINLAND"
"3268876064","3268876127","SE","SWE","SWEDEN"
"3268876128","3268876191","FI","FIN","FINLAND"
"3268876192","3268876223","SE","SWE","SWEDEN"
"3268876224","3268881151","FI","FIN","FINLAND"
"3268881152","3268881407","SE","SWE","SWEDEN"
"3268881408","3268881919","FI","FIN","FINLAND"
"3268881920","3268882175","SE","SWE","SWEDEN"
"3268882176","3268916223","FI","FIN","FINLAND"
"3268916224","3268916479","GB","GBR","UNITED KINGDOM"
"3268916480","3268920575","FI","FIN","FINLAND"
"3268920576","3268920831","SE","SWE","SWEDEN"
"3268920832","3268932351","FI","FIN","FINLAND"
"3268932352","3268932607","RU","RUS","RUSSIAN FEDERATION"
"3268932608","3268935679","FI","FIN","FINLAND"
"3268935680","3269057535","GB","GBR","UNITED KINGDOM"
"3269057536","3269058047","NL","NLD","NETHERLANDS"
"3269058048","3269066751","GB","GBR","UNITED KINGDOM"
"3269066752","3269069323","SE","SWE","SWEDEN"
"3269069324","3269069327","DK","DNK","DENMARK"
"3269069328","3269132287","SE","SWE","SWEDEN"
"3269132288","3269197823","GR","GRC","GREECE"
"3269197824","3269200639","RU","RUS","RUSSIAN FEDERATION"
"3269200640","3269200895","UA","UKR","UKRAINE"
"3269200896","3269202175","RU","RUS","RUSSIAN FEDERATION"
"3269202176","3269202431","UA","UKR","UKRAINE"
"3269202432","3269212671","RU","RUS","RUSSIAN FEDERATION"
"3269212672","3269213183","UA","UKR","UKRAINE"
"3269213184","3269231871","RU","RUS","RUSSIAN FEDERATION"
"3269231872","3269232127","UA","UKR","UKRAINE"
"3269232128","3269233407","RU","RUS","RUSSIAN FEDERATION"
"3269233408","3269233663","UA","UKR","UKRAINE"
"3269233664","3269239039","RU","RUS","RUSSIAN FEDERATION"
"3269239040","3269239295","UA","UKR","UKRAINE"
"3269239296","3269263359","RU","RUS","RUSSIAN FEDERATION"
"3269263872","3269264127","DE","DEU","GERMANY"
"3269264640","3269264895","DE","DEU","GERMANY"
"3269265856","3269265919","DE","DEU","GERMANY"
"3269265920","3269266175","GB","GBR","UNITED KINGDOM"
"3269266688","3269266943","DE","DEU","GERMANY"
"3269266944","3269267455","GB","GBR","UNITED KINGDOM"
"3269272576","3269272583","DE","DEU","GERMANY"
"3269272704","3269272831","DE","DEU","GERMANY"
"3269272832","3269272847","GB","GBR","UNITED KINGDOM"
"3269272848","3269272959","NL","NLD","NETHERLANDS"
"3269273088","3269273343","DE","DEU","GERMANY"
"3269273600","3269273855","GB","GBR","UNITED KINGDOM"
"3269273856","3269275647","DE","DEU","GERMANY"
"3269275904","3269276159","DE","DEU","GERMANY"
"3269276160","3269276415","GB","GBR","UNITED KINGDOM"
"3269277184","3269277695","FR","FRA","FRANCE"
"3269279232","3269279487","NL","NLD","NETHERLANDS"
"3269279672","3269279679","CH","CHE","SWITZERLAND"
"3269281024","3269281279","DE","DEU","GERMANY"
"3269281536","3269281663","DE","DEU","GERMANY"
"3269282048","3269282303","DE","DEU","GERMANY"
"3269282304","3269282559","GB","GBR","UNITED KINGDOM"
"3269282560","3269282815","FR","FRA","FRANCE"
"3269283328","3269283583","DE","DEU","GERMANY"
"3269283872","3269283903","DE","DEU","GERMANY"
"3269284096","3269284351","GB","GBR","UNITED KINGDOM"
"3269284992","3269285055","FR","FRA","FRANCE"
"3269285088","3269285135","DE","DEU","GERMANY"
"3269285152","3269285215","DE","DEU","GERMANY"
"3269285240","3269285247","FR","FRA","FRANCE"
"3269285312","3269285327","DE","DEU","GERMANY"
"3269285632","3269285887","DE","DEU","GERMANY"
"3269286400","3269286463","DE","DEU","GERMANY"
"3269288688","3269288959","DE","DEU","GERMANY"
"3269289472","3269289727","DE","DEU","GERMANY"
"3269290560","3269290575","DE","DEU","GERMANY"
"3269290592","3269290687","DE","DEU","GERMANY"
"3269290736","3269290743","DE","DEU","GERMANY"
"3269291264","3269291519","DE","DEU","GERMANY"
"3269291520","3269291535","GB","GBR","UNITED KINGDOM"
"3269291584","3269291647","GB","GBR","UNITED KINGDOM"
"3269291776","3269292287","ES","ESP","SPAIN"
"3269293120","3269293151","DE","DEU","GERMANY"
"3269293208","3269293215","DE","DEU","GERMANY"
"3269293248","3269293279","DE","DEU","GERMANY"
"3269293376","3269293383","DE","DEU","GERMANY"
"3269293856","3269293887","DE","DEU","GERMANY"
"3269293920","3269293951","DE","DEU","GERMANY"
"3269296232","3269296235","DE","DEU","GERMANY"
"3269296368","3269296375","DE","DEU","GERMANY"
"3269297152","3269297663","GB","GBR","UNITED KINGDOM"
"3269298664","3269298671","DE","DEU","GERMANY"
"3269303040","3269303295","DE","DEU","GERMANY"
"3269303296","3269303423","GB","GBR","UNITED KINGDOM"
"3269303552","3269303679","DE","DEU","GERMANY"
"3269305344","3269305351","DE","DEU","GERMANY"
"3269305856","3269307135","DE","DEU","GERMANY"
"3269307648","3269307903","DE","DEU","GERMANY"
"3269310656","3269310671","DE","DEU","GERMANY"
"3269310976","3269311231","DE","DEU","GERMANY"
"3269311872","3269311999","DE","DEU","GERMANY"
"3269313792","3269314175","DE","DEU","GERMANY"
"3269314192","3269314199","DE","DEU","GERMANY"
"3269314816","3269315071","DE","DEU","GERMANY"
"3269315584","3269315591","DE","DEU","GERMANY"
"3269317632","3269317663","GB","GBR","UNITED KINGDOM"
"3269317664","3269317671","IE","IRL","IRELAND"
"3269317672","3269317887","GB","GBR","UNITED KINGDOM"
"3269317888","3269318399","DE","DEU","GERMANY"
"3269318400","3269318431","GB","GBR","UNITED KINGDOM"
"3269318432","3269318463","DE","DEU","GERMANY"
"3269318464","3269318655","GB","GBR","UNITED KINGDOM"
"3269318656","3269318983","DE","DEU","GERMANY"
"3269319008","3269319047","DE","DEU","GERMANY"
"3269319056","3269319071","DE","DEU","GERMANY"
"3269319136","3269320447","DE","DEU","GERMANY"
"3269320704","3269321727","GB","GBR","UNITED KINGDOM"
"3269322240","3269322495","DE","DEU","GERMANY"
"3269322680","3269322683","DE","DEU","GERMANY"
"3269322752","3269323263","DE","DEU","GERMANY"
"3269326848","3269326855","DE","DEU","GERMANY"
"3269326960","3269326971","DE","DEU","GERMANY"
"3269326992","3269326999","DE","DEU","GERMANY"
"3269327024","3269327039","DE","DEU","GERMANY"
"3269327056","3269327103","DE","DEU","GERMANY"
"3269327760","3269327767","DE","DEU","GERMANY"
"3269327864","3269328383","DE","DEU","GERMANY"
"3269328896","3269459967","GB","GBR","UNITED KINGDOM"
"3269459968","3269525503","ES","ESP","SPAIN"
"3269525504","3269591039","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"3269591040","3269621759","RU","RUS","RUSSIAN FEDERATION"
"3269621760","3269623551","BY","BLR","BELARUS"
"3269623552","3269623807","RU","RUS","RUSSIAN FEDERATION"
"3269623808","3269625855","KZ","KAZ","KAZAKHSTAN"
"3269625856","3269626367","RU","RUS","RUSSIAN FEDERATION"
"3269626368","3269626879","KZ","KAZ","KAZAKHSTAN"
"3269626880","3269656575","RU","RUS","RUSSIAN FEDERATION"
"3269656576","3269722111","GB","GBR","UNITED KINGDOM"
"3269722112","3269731839","CZ","CZE","CZECH REPUBLIC"
"3269731840","3269732095","CR","CRI","COSTA RICA"
"3269732096","3269750799","CZ","CZE","CZECH REPUBLIC"
"3269750800","3269750815","CR","CRI","COSTA RICA"
"3269750816","3269787647","CZ","CZE","CZECH REPUBLIC"
"3269787648","3269853183","NL","NLD","NETHERLANDS"
"3269853184","3269918719","CH","CHE","SWITZERLAND"
"3269918720","3269936063","DE","DEU","GERMANY"
"3269936064","3269936079","NL","NLD","NETHERLANDS"
"3269936080","3269984255","DE","DEU","GERMANY"
"3269984256","3270049791","AT","AUT","AUSTRIA"
"3270049792","3270115327","DE","DEU","GERMANY"
"3270117504","3270117631","DK","DNK","DENMARK"
"3270118400","3270120703","DK","DNK","DENMARK"
"3270122240","3270122495","DK","DNK","DENMARK"
"3270123716","3270123719","DK","DNK","DENMARK"
"3270123776","3270124031","DK","DNK","DENMARK"
"3270124544","3270124799","DK","DNK","DENMARK"
"3270125056","3270125567","DK","DNK","DENMARK"
"3270126080","3270126335","DK","DNK","DENMARK"
"3270126624","3270126655","DK","DNK","DENMARK"
"3270131968","3270132223","NO","NOR","NORWAY"
"3270132992","3270133023","NO","NOR","NORWAY"
"3270136928","3270136959","NO","NOR","NORWAY"
"3270136992","3270137055","NO","NOR","NORWAY"
"3270137344","3270138111","NO","NOR","NORWAY"
"3270140928","3270141439","NO","NOR","NORWAY"
"3270142208","3270142463","NO","NOR","NORWAY"
"3270144000","3270144767","NO","NOR","NORWAY"
"3270146816","3270147327","NO","NOR","NORWAY"
"3270147584","3270148095","NO","NOR","NORWAY"
"3270148096","3270151423","FI","FIN","FINLAND"
"3270151936","3270154527","FI","FIN","FINLAND"
"3270155008","3270155775","FI","FIN","FINLAND"
"3270156288","3270156799","DK","DNK","DENMARK"
"3270159616","3270159871","DK","DNK","DENMARK"
"3270164992","3270165247","NO","NOR","NORWAY"
"3270166528","3270167807","NO","NOR","NORWAY"
"3270169088","3270169343","NO","NOR","NORWAY"
"3270170112","3270170623","NO","NOR","NORWAY"
"3270173184","3270173951","NO","NOR","NORWAY"
"3270174720","3270174975","NO","NOR","NORWAY"
"3270175744","3270175999","NO","NOR","NORWAY"
"3270176768","3270177023","NO","NOR","NORWAY"
"3270181120","3270181887","CH","CHE","SWITZERLAND"
"3270182144","3270183679","CH","CHE","SWITZERLAND"
"3270188288","3270188799","CH","CHE","SWITZERLAND"
"3270189056","3270190079","BE","BEL","BELGIUM"
"3270190080","3270190591","IT","ITA","ITALY"
"3270190592","3270191359","CH","CHE","SWITZERLAND"
"3270191616","3270192047","CH","CHE","SWITZERLAND"
"3270193152","3270193919","CH","CHE","SWITZERLAND"
"3270194176","3270194431","CH","CHE","SWITZERLAND"
"3270194688","3270194943","CH","CHE","SWITZERLAND"
"3270195456","3270195967","CH","CHE","SWITZERLAND"
"3270196480","3270197247","CH","CHE","SWITZERLAND"
"3270198528","3270199039","NL","NLD","NETHERLANDS"
"3270199808","3270201087","NL","NLD","NETHERLANDS"
"3270201344","3270201599","NL","NLD","NETHERLANDS"
"3270202624","3270203135","NL","NLD","NETHERLANDS"
"3270204416","3270205695","NL","NLD","NETHERLANDS"
"3270205984","3270205999","ES","ESP","SPAIN"
"3270206064","3270206079","ES","ESP","SPAIN"
"3270206976","3270207231","ES","ESP","SPAIN"
"3270207232","3270207487","CH","CHE","SWITZERLAND"
"3270207744","3270207903","IT","ITA","ITALY"
"3270208000","3270208255","CH","CHE","SWITZERLAND"
"3270208256","3270208511","LU","LUX","LUXEMBOURG"
"3270208768","3270209023","RO","ROM","ROMANIA"
"3270209024","3270209279","NL","NLD","NETHERLANDS"
"3270210560","3270211071","NL","NLD","NETHERLANDS"
"3270211328","3270211583","NL","NLD","NETHERLANDS"
"3270212352","3270212863","NL","NLD","NETHERLANDS"
"3270213120","3270213631","NL","NLD","NETHERLANDS"
"3270213888","3270214279","PT","PRT","PORTUGAL"
"3270214280","3270214287","US","USA","UNITED STATES"
"3270214288","3270214303","PT","PRT","PORTUGAL"
"3270214320","3270215439","PT","PRT","PORTUGAL"
"3270215520","3270215935","PT","PRT","PORTUGAL"
"3270216192","3270216351","PT","PRT","PORTUGAL"
"3270216384","3270216703","PT","PRT","PORTUGAL"
"3270216736","3270216751","IT","ITA","ITALY"
"3270216800","3270216815","IT","ITA","ITALY"
"3270216832","3270216879","IT","ITA","ITALY"
"3270217472","3270219775","CH","CHE","SWITZERLAND"
"3270222336","3270223871","IT","ITA","ITALY"
"3270224640","3270224895","CH","CHE","SWITZERLAND"
"3270225408","3270225663","CH","CHE","SWITZERLAND"
"3270230016","3270230783","LU","LUX","LUXEMBOURG"
"3270231296","3270231647","LU","LUX","LUXEMBOURG"
"3270231808","3270232831","LU","LUX","LUXEMBOURG"
"3270234112","3270234367","LU","LUX","LUXEMBOURG"
"3270234368","3270238719","NL","NLD","NETHERLANDS"
"3270238976","3270239999","CH","CHE","SWITZERLAND"
"3270240000","3270240255","NL","NLD","NETHERLANDS"
"3270240768","3270241023","NL","NLD","NETHERLANDS"
"3270241280","3270241535","NL","NLD","NETHERLANDS"
"3270241536","3270242559","RO","ROM","ROMANIA"
"3270242816","3270243071","AT","AUT","AUSTRIA"
"3270243328","3270243839","RO","ROM","ROMANIA"
"3270243840","3270244351","NL","NLD","NETHERLANDS"
"3270244352","3270245887","CH","CHE","SWITZERLAND"
"3270245888","3270246143","RO","ROM","ROMANIA"
"3270246144","3270246399","CH","CHE","SWITZERLAND"
"3270246400","3270247951","SE","SWE","SWEDEN"
"3270247952","3270247955","NO","NOR","NORWAY"
"3270247956","3270369919","SE","SWE","SWEDEN"
"3270369920","3270369927","NO","NOR","NORWAY"
"3270369928","3270377471","SE","SWE","SWEDEN"
"3270377472","3270443007","GB","GBR","UNITED KINGDOM"
"3270443008","3270508543","DK","DNK","DENMARK"
"3270508544","3270639615","FI","FIN","FINLAND"
"3270639616","3270647807","IT","ITA","ITALY"
"3270647808","3270648063","TR","TUR","TURKEY"
"3270648064","3270648319","RU","RUS","RUSSIAN FEDERATION"
"3270648320","3270648575","CH","CHE","SWITZERLAND"
"3270648576","3270648831","AT","AUT","AUSTRIA"
"3270648832","3270649087","SI","SVN","SLOVENIA"
"3270649088","3270649343","AT","AUT","AUSTRIA"
"3270649344","3270649599","DK","DNK","DENMARK"
"3270649600","3270649855","PL","POL","POLAND"
"3270649856","3270650111","DK","DNK","DENMARK"
"3270650112","3270650367","AT","AUT","AUSTRIA"
"3270650368","3270650623","DK","DNK","DENMARK"
"3270650624","3270651391","FR","FRA","FRANCE"
